method,task,samples,expected_samples,failures,empty_predictions,score,metric,avg_input_tokens,avg_output_tokens,last_mtime,path
fp16,qasper,50,50,0,0,41.08,qa_f1,5146.64,35.4,2026-08-02T00:07:18.624813,results/longbench/fp16/qasper.jsonl
fp16,multifieldqa_en,50,50,0,0,51.37,qa_f1,6344.64,27.82,2026-08-02T00:08:12.173093,results/longbench/fp16/multifieldqa_en.jsonl
fp16,hotpotqa,50,50,0,0,22.61,qa_f1,7864.46,28.58,2026-08-02T00:09:12.174409,results/longbench/fp16/hotpotqa.jsonl
fp16,2wikimqa,50,50,0,0,40.13,qa_f1,6257.58,13.08,2026-08-02T00:11:07.569019,results/longbench/fp16/2wikimqa.jsonl
fp16,gov_report,50,50,0,0,35.47,rouge_l,7308.98,465.94,2026-08-02T00:24:12.839221,results/longbench/fp16/gov_report.jsonl
fp16,trec,50,50,0,0,72.0,classification,5885.34,64.0,2026-08-02T00:11:28.341130,results/longbench/fp16/trec.jsonl
fp16,passage_retrieval_en,50,50,0,0,76.0,retrieval,8182.94,9.32,2026-08-02T00:13:42.946847,results/longbench/fp16/passage_retrieval_en.jsonl
fp16,lcc,50,50,0,0,63.98,code_sim,2983.78,64.0,2026-08-02T00:13:47.623872,results/longbench/fp16/lcc.jsonl
patternkv,qasper,50,50,0,0,41.59,qa_f1,5146.64,35.66,2026-08-02T00:10:34.457844,results/longbench/patternkv/qasper.jsonl
patternkv,multifieldqa_en,50,50,0,0,49.21,qa_f1,6344.64,32.3,2026-08-02T00:11:18.850079,results/longbench/patternkv/multifieldqa_en.jsonl
patternkv,hotpotqa,50,50,0,0,22.26,qa_f1,7864.46,26.52,2026-08-02T00:12:06.030330,results/longbench/patternkv/hotpotqa.jsonl
patternkv,2wikimqa,50,50,0,0,37.82,qa_f1,6257.58,13.04,2026-08-02T00:14:48.907201,results/longbench/patternkv/2wikimqa.jsonl
patternkv,gov_report,50,50,0,0,34.04,rouge_l,7308.98,502.18,2026-08-02T00:32:06.595781,results/longbench/patternkv/gov_report.jsonl
patternkv,trec,50,50,0,0,72.0,classification,5885.34,64.0,2026-08-02T00:15:47.416515,results/longbench/patternkv/trec.jsonl
patternkv,passage_retrieval_en,50,50,0,0,71.67,retrieval,8182.94,21.76,2026-08-02T00:18:26.816369,results/longbench/patternkv/passage_retrieval_en.jsonl
patternkv,lcc,50,50,0,0,62.74,code_sim,2983.78,64.0,2026-08-02T00:19:24.002674,results/longbench/patternkv/lcc.jsonl
